Referring_Story_Id,Referring_Decision,Story
3LXX8KJXPW9FAX42KUVZF8LMEL99O6,You enter the settlement and get food and supplies,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. THEN YOU MAKE CAVE INSIDE YOUR HOME TO HIDE OFFICER BODY.IT MAKES SOME NOICE. NOW DOOR KNOKING SOUND IS COME.YOU GO AND SEE WITHOUT OPEN DOOR BY WINDOW,ONE OFFICER IS THERE. You escape into the forest and run walk noiselessly through it. After 1 hour you  see a small settlement on the path. You enter the settlement and get food and supplies"
3LXX8KJXPW9FAX42KUVZF8LMEL99O6,You avoid it.,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. THEN YOU MAKE CAVE INSIDE YOUR HOME TO HIDE OFFICER BODY.IT MAKES SOME NOICE. NOW DOOR KNOKING SOUND IS COME.YOU GO AND SEE WITHOUT OPEN DOOR BY WINDOW,ONE OFFICER IS THERE. You escape into the forest and run walk noiselessly through it. After 1 hour you  see a small settlement on the path. You avoid it."
32ZCLEW0BZKM19TCL6ZRT24FKVHJPS,You the rifle was loaded,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. THEN YOU MAKE CAVE INSIDE YOUR HOME TO HIDE OFFICER BODY.IT MAKES SOME NOICE. NOW DOOR KNOKING SOUND IS COME.YOU GO AND SEE WITHOUT OPEN DOOR BY WINDOW,ONE OFFICER IS THERE. After hiding the body you warn your family and they decide to flee the place, take what little they can and go to the depository where there are weapons and get a rifle to defend themselves on the way. You the rifle was loaded"
32ZCLEW0BZKM19TCL6ZRT24FKVHJPS,"You the rifle was out of ammunition, yet he decided to take it","The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. THEN YOU MAKE CAVE INSIDE YOUR HOME TO HIDE OFFICER BODY.IT MAKES SOME NOICE. NOW DOOR KNOKING SOUND IS COME.YOU GO AND SEE WITHOUT OPEN DOOR BY WINDOW,ONE OFFICER IS THERE. After hiding the body you warn your family and they decide to flee the place, take what little they can and go to the depository where there are weapons and get a rifle to defend themselves on the way. You the rifle was out of ammunition, yet he decided to take it"
30F94FBDNRKEBIO7EVVU0OMZ1TTBT4,You ask them food and shelter,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. You find yourself in a forest, surrounded by dense and rather sinister looking trees. There is a path to your left and a path to your right. you will climb a giant tree to find a way into the deep forest. you see the little village of the tribe. They are growing vegetables and fruits like manioc, corn, beans, and bananas You ask them food and shelter"
30F94FBDNRKEBIO7EVVU0OMZ1TTBT4,You stay silent and go away from tribes,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. You find yourself in a forest, surrounded by dense and rather sinister looking trees. There is a path to your left and a path to your right. you will climb a giant tree to find a way into the deep forest. you see the little village of the tribe. They are growing vegetables and fruits like manioc, corn, beans, and bananas You stay silent and go away from tribes"
39WSF6KUV2LW5TVJS5BL7MMX5IPEOL,You go fight the bandits.,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. You find yourself in a forest, surrounded by dense and rather sinister looking trees. There is a path to your left and a path to your right. On your way you see some bandits around a camp fire. There is 3 of them and are heavily armed. You go fight the bandits."
39WSF6KUV2LW5TVJS5BL7MMX5IPEOL,You sneak into the camp and steal things.,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you. You find yourself in a forest, surrounded by dense and rather sinister looking trees. There is a path to your left and a path to your right. On your way you see some bandits around a camp fire. There is 3 of them and are heavily armed. You sneak into the camp and steal things."
3126F2F5F83EQT7K75O0WMRNFNLEP2,You kill the soldiers one by one and enter home to collect your stuff.,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You go towards your home and see that soldiers are waiting to capture you. You see that there are only 5 soldiers in the group and all hiding quite scattered from each other in the woods around your home. You kill the soldiers one by one and enter home to collect your stuff."
3126F2F5F83EQT7K75O0WMRNFNLEP2,You turn back without getting your stuff.,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents. The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground. AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME You go towards your home and see that soldiers are waiting to capture you. You see that there are only 5 soldiers in the group and all hiding quite scattered from each other in the woods around your home. You turn back without getting your stuff."
