HitId,Text,Decision1,Decision2,Decision1_HitId,Decision2_HitId,Referring_Story_Id,Referring_Decision
3VIVIU06FKCKLVCTB8MZ0XVK2CRIMV,"and stay in the settlement for as long as you can, eat all the foods when you are hungry and continue to stay there",You stay in the settlement,You eat the food,,,3LXX8KJXPW9FAX42KUVZF8LMEL99O6,1
3HEADTGN2PSG4H9LFNHZ1LFOG1MRVP,and continue walking and go inside the jungle and stay there try to hide there as long as you can and finally you come out,you walk the path,You leave the path,,,3LXX8KJXPW9FAX42KUVZF8LMEL99O6,2
30EMX9PEVKJEPLFMV83XPM93M5YKSK,There were 8-9 officers. They are ready to fight with you. They started following you. You all are very frightened.,You attack the officers.,You run away from officers.,,,32ZCLEW0BZKM19TCL6ZRT24FKVHJPS,1
31KSVEGZ34STJ69Q5XMVNNY2NAORWZ,"Then you are looking for the rest of rebels to decide what to do next. You lost a lot of friends as killed and imprisoned, but you should fight till the victory.",you go to the forest with all your weapon,you are waiting for friends in the depository,,,32ZCLEW0BZKM19TCL6ZRT24FKVHJPS,2
3RHLQY6EDT4N9U71DQLSN6Y7OGYD4T,The people seem very friendly. They allow you to stay with them. After staying with them for a few days they are raided by the monarchy.,You stay and fight,You run away,,,30F94FBDNRKEBIO7EVVU0OMZ1TTBT4,1
3VO4XFFP15MEHQTPKAPJQHPGYXD7QC,You come close to the village and try not only to keep silence but also hear all their words. You try to understand if they stay for monarchy. Or maybe you can trust them.,You are so happy - they are also rebels,You should run - they are looking for the rebels to bring them to soldiers,,,30F94FBDNRKEBIO7EVVU0OMZ1TTBT4,2
351S7I5UG9WMYOHZ5RMZPDZKKHQNJC,The bandits outnumber you. They shoot at you. You avoid the bullets. You sneak up behind the bandits. They don\'t know where you are.,You knock the out and disarm them,You throw a rock to distract them,,,39WSF6KUV2LW5TVJS5BL7MMX5IPEOL,1
3J94SKDEKIP55DB1RV42SY4LOCTD5Y,But you go too noisy - one bandit hear the noise and try to find what\'s wrong. He find out that some things are lost. So - there should be somebody. They start to look for you.,You climb the tree and sit still there without even breathe,You are running as quickly as you can and pray,,,39WSF6KUV2LW5TVJS5BL7MMX5IPEOL,2
37OPIVELUU3JNZSK8NE9RUZ58INAHA,"You notice that the monarchy lives up to its reputation, the house is in shambles, shattered glass and flipped furniture are scattered all over the room. The monarchy men tried to their best of ability to search the house and locate some clue on the insurgents ids. Luckily their ability is known to be notoriously limited, decades of widespread nepotism tend to have that effect on loyalists. The insurgent ids must still be in attic, safe inside the hidden safebox. As you start making your way towards the ladder, you overhear whispers that appear to be coming from the attic.",You move closer and try to understand whats being said,You go back downstairs and look for a weapon,,,3126F2F5F83EQT7K75O0WMRNFNLEP2,1
3BS6ERDL9371OHBFWEE7K4ILK74D6E,You can\'t get home and there is the only way - to go to the main part of rebels and try to stay alive till victory. You can inform the rebels about main monarchy forces.,You are continue to fight with the rebels,You find a small settlement to hide till the end,,,3126F2F5F83EQT7K75O0WMRNFNLEP2,2
